Country_and_Time_Period,Migration Change,% Expenditure on healthcare,Infrastructure as % of GDP,Taxing Wages,Infant Mortality,Change in Unemployment,GDP Growth,Life Expectancy
Chile 2013,0.204722264,7.3808,0.2,4.76,7.6,-0.351674658,4.226190624,79.83680488
Czech  Republic 2001,1.678731961,5.9006,0.9,32.68,4.1,-0.142913581,3.051521405,75.17317073
Czech Republic 2002,2.854808796,6.2151,1.2,33.12,4,-1.475401008,4.813746188,75.44756098
Czech Republic 2003,0.315936584,6.576,1.2,34.25,4.1,0.509000522,5.401154449,75.31036585
Czech Republic 2004,-0.115498451,6.3955,1.5,35.57,3.9,0.374412758,4.947454577,75.72195122
Czech Republic 2005,0.15298008,6.3946,1.7,35.07,3.7,-0.014666108,6.442262581,75.92439024
Czech Republic 2006,0.128875307,6.2055,1.6,33.46,3.4,-0.820949767,6.876544673,76.52439024
Czech Republic 2007,0.55026087,6.0291,1.5,29.42,3.3,-2.271571971,5.529266605,76.72439024
Czech Republic 2008,-0.240891221,6.3736,2,30.51,3.1,-0.797453235,2.710956215,76.97560976
Czech Republic 2009,-0.48632047,7.3089,1.9,30.23,2.8,2.730227822,-4.841786335,77.07804878
Czech Republic 2010,-0.236609712,6.9435,1.5,30.29,2.9,0.538789647,2.295089115,77.42439024
Czech Republic 2011,-0.25970834,6.9964,1.1,33.18,2.7,-0.338626815,1.963780536,77.87317073
Czech Republic 2012,0.341212926,7.0574,0.8,32.57,2.7,0.596408252,-0.808400773,78.07560976
Czech Republic 2013,-0.024307786,7.0968,0.6,32.56,2.6,-0.249694721,-0.701654025,78.27804878
Denmark 2001,0.082403584,8.4483,0.5,35.05,5.3,-0.338501242,0.82315273,76.79268293
Denmark 2002,-0.128114601,8.7025,0.5,34.46,4.9,-0.282070199,1.966376687,77.14268293
Denmark 2003,-0.144286712,8.9036,0.5,34.38,4.4,0.815375274,2.347451339,76.96768293
Denmark 2004,0.017459886,9.0121,0.5,33.93,4.4,0.045551341,2.638949775,77.49268293
Denmark 2005,0.076980648,9.0874,0.5,33.8,4.4,-0.579806105,2.437027555,77.84390244
Denmark 2006,0.190261094,9.1663,0.6,33.93,4.4,-0.841540519,3.796740952,78.09512195
Denmark 2007,0.310730222,9.3229,0.5,34.12,3.5,0.150781031,0.824418073,78.19512195
Denmark 2008,0.177791919,9.5321,0.5,33.89,4,-0.499172561,-0.717957057,78.44634146
Denmark 2009,-0.136717273,10.7237,0.5,33.34,4,2.285926248,-5.087934006,78.59756098
Denmark 2010,0.046468692,10.4464,0.6,31.91,3.1,1.091712578,1.625135885,79.1
Denmark 2011,0.033789845,10.2292,0.8,32.22,3.4,0.185661965,1.152136945,79.8
Denmark 2012,0.02655328,10.3589,0.9,32.43,3.5,0.056275258,-0.65522463,80.05121951
Denmark 2013,0.141550965,10.4001,0.9,32.05,3.4,-0.465225519,-0.486210303,80.30243902
Estonia 2001,0,4.7968,0.5,35.57,8.4,-0.75104994,6.15810782,70.25853659
Estonia 2002,0,4.7415,0.8,36.61,8.8,-1.98713919,7.369120123,71.08414634
Estonia 2003,0,4.8913,0.7,37.27,5.7,-0.96536928,7.772790891,70.67134146
Estonia 2004,0,5.0935,0.8,35.1,7,0.6411028,6.478126747,71.9097561
Estonia 2005,0.292490119,4.9569,1.1,33.94,6.4,-2.803201265,9.471125802,72.56829268
Estonia 2006,0.516819572,4.9197,1.1,31.09,5.4,-1.603379321,10.4127813,72.69146341
Estonia 2007,0.311827957,5.03,1,32.55,4.4,-1.602909372,7.900134323,72.81463415
Estonia 2008,-0.011782787,5.7084,1,30.37,5,1.095575953,-5.327658052,73.77073171
Estonia 2009,0.155520995,6.5734,1.1,33.14,5,7.871407065,-14.73756319,74.82439024
Estonia 2010,-0.462090624,6.1231,1.2,34.12,3.6,3.32457365,2.475873851,75.42926829
Estonia 2011,0.396997498,5.6864,1.5,34.51,3.3,-4.34450082,8.263792513,76.22926829
Estonia 2012,-0.339104478,5.833,1.4,34.99,2.5,-2.38864702,4.650562696,76.32682927
Estonia 2013,0.322106552,5.9716,1.3,34.82,3.6,-1.302434242,1.629773391,76.42439024
Finland 2001,0.211525796,6.8399,0.5,37.91,3.8,-0.720875771,2.580758439,77.96585366
Finland 2002,-0.096493612,7.1851,0.5,37.75,3.2,-0.031389588,3.095584294,78.3402439
Finland 2003,-0.054151625,7.4582,0.5,36.89,3,-0.613517636,3.267192912,78.15304878
Finland 2004,0.220419847,7.5433,0.6,36.21,3.1,-0.200178472,3.926026618,78.71463415
Finland 2005,0.107114934,7.7068,0.5,36.56,3.3,-0.421475722,2.779967826,78.81707317
Finland 2006,0.088198368,7.6265,0.5,36.39,3,-0.964059675,4.055186846,79.21463415
Finland 2007,0.262186328,7.3963,0.5,36.36,2.8,-0.549708772,5.184819694,79.26341463
Finland 2008,0.137225777,7.6025,0.7,36.44,2.7,-0.842768488,0.720645613,79.56829268
Finland 2009,-0.091379484,8.2854,0.7,35.19,2.6,2.336074348,-8.269018743,79.7195122
Finland 2010,0.006911041,8.2129,0.7,34.95,2.6,-0.447898768,2.992355336,79.87073171
Finland 2011,0.121019108,8.2331,0.7,35.04,2.3,-0.518408482,2.570792586,80.47073171
Finland 2012,0.142927116,8.4625,0.8,34.9,2.4,-0.209794365,-1.426177315,80.62682927
Finland 2013,0.022577808,8.6329,0.9,35.55,2.4,0.695494366,-1.321569361,80.83170732
France 2001,0.163287075,9.6652,0.8,39.68,4.5,-1.258253357,1.954452429,79.15853659
France 2002,0.162382926,9.9818,0.8,39.64,4.6,0.154469739,2.116196159,79.66097561
France 2003,0.097704295,10.0411,0.9,40.02,4.2,-0.235355194,2.170110735,79.4097561
France 2004,0.038014226,10.1242,0.9,40.56,4.2,0.340765391,2.786420554,80.16341463
France 2005,-0.040182545,10.1798,0.9,40.31,4,0.027584599,1.607715493,80.16341463
France 2006,0.173148543,10.1,0.9,40.02,3.8,0.24233528,2.374944836,80.81219512
France 2007,-0.084791488,10.0345,0.9,40.03,3.8,-0.786356185,2.361502077,81.11219512
France 2008,0.051105048,10.1547,0.9,39.38,3.8,-0.384901435,0.195293168,81.21463415
France 2009,0.040931058,10.8605,0.9,40.38,3.8,1.879039602,-2.941338664,81.41463415
France 2010,-0.01157844,10.7854,0.9,40.56,3.9,-0.076996418,1.965657819,81.66341463
France 2011,-0.018737441,10.7194,0.9,40.72,3.6,-0.235880308,2.079228327,82.11463415
France 2012,0.055832251,10.7998,1,41,3.5,0.700758333,0.182689429,81.96829268
France 2013,0.049318017,10.9469,1.1,39.42,3.5,0.366627213,0.656488993,81.96829268
Germany 2001,0.056119634,9.8615,0.8,40.42,4.4,0.091143082,1.695286441,78.32926829
Germany 2002,-0.039281498,10.107,0.9,40.48,4.3,0.58704287,1.194174475,78.50487805
Germany 2003,-0.085946341,10.3441,0.8,41.36,4.2,0.409301689,1.027137153,78.41707317
Germany 2004,0.000702939,10.1148,0.8,40.52,4.2,1.227638929,1.18067559,78.6804878
Germany 2005,-0.037996818,10.2606,0.6,40.79,4.1,0.697124338,0.706561393,78.93170732
Germany 2006,-0.035964033,10.1134,0.6,41.04,3.9,-0.642434197,3.710003395,79.13170732
Germany 2007,0.029160183,9.9693,0.6,40.64,3.8,-1.423430001,3.269783353,79.53414634
